word,frequency,definition
addition,161.0,a part added (as to a building or residential section)
additional,79.0,more than is usual or expected added additional information
address,52.0,to mark directions for delivery on
adequate,43.0,sufficient for a specific need or requirement
adjourn,1.0,to suspend indefinitely or until a later stated time
adjust,68.0,to bring to a more satisfactory state:
administration,39.0,performance of executive duties management worked in the administration of a hospital
admiration,40.0,a feeling of respect and approval
admire,7.0,to feel respect and approval for (someone or something) to regard with admiration They all admired her courage.
admission,32.0,an act of admitting the fact or state of being admittedsuch as
admit,41.0,to allow scope for permit admits no possibility of misunderstanding
adopt,14.0,to take by choice into a relationship
adoption,8.0,the act of adopting the state of being adopted
adult,60.0,fully developed and mature grown-up an adult lion
advance,131.0,to accelerate the growth or progress of
advantage,115.0,superiority of position or condition
adventure,4.0,an undertaking usually involving danger and unknown risks
adventurous,4.0,disposed to seek adventure or to cope with the new and unknown
advertise,17.0,to make something known to notify
advertisement,14.0,a public notice
advice,53.0,"recommendation regarding a decision or course of conduct counsel … shall have power, by and with the advice and consent of the Senate, to make treaties … — U.S. Constitution offering medical advice a word of advice"
advise,14.0,to give (someone) a recommendation about what should be done to give advice to
affair,31.0,"commercial, professional, public, or personal business"
affect,130.0,to produce an effect uponsuch as
affection,77.0,a feeling of liking and caring for someone or something tender attachment fondness She had a deep affection for her parents.
affectionate,8.0,feeling or showing affection or warm regard loving affectionate friends an affectionate nickname
afford,25.0,to manage to bear without serious detriment You can't afford to neglect your health.
afraid,53.0,filled with fear or apprehension afraid of machines was afraid for his job
after,571.0,"following in time or place afterward, behind, later we arrived shortly after returned 20 years after"
afternoon,12.0,the part of day between noon and sunset
again,131.0,in return back … swore he would pay him again when he was able.— William Shakespeare
against,475.0,in opposition or hostility to
age,125.0,"the time of life at which some particular qualification, power, or capacity arises or rests"
agency,107.0,the office or function of an agent (see agent sense 4)
agent,151.0,one that acts or exerts power
aggravation,2.0,an act or circumstance that intensifies something or makes something worse
aggressive,21.0,tending toward or exhibiting aggression aggressive behavior
ago,36.0,earlier than the present time
agree,87.0,"to concur in (something, such as an opinion) admit, concede They agreed that he was right."
agreement,205.0,"harmony of opinion, action, or character concord There is widespread agreement on this issue."
agriculture,7.0,"the science, art, or practice of cultivating the soil, producing crops, and raising livestock and in varying degrees the preparation and marketing of the resulting products"
ahead,60.0,in a forward direction or position forward
aid,75.0,to provide with what is useful or necessary in achieving an end
aim,62.0,to direct a course
air,477.0,the mixture of invisible odorless tasteless gases (such as nitrogen and oxygen) that surrounds the earth
airplane,156.0,a powered heavier-than-air aircraft with fixed wings from which it derives most of its lift
airport,10.0,a place from which aircraft operate that usually has paved runways and maintenance facilities and often serves as a terminal
aisle,6.0,a passage (as in a theater or railroad passenger car) separating sections of seats
alarm,36.0,a call to arms
alert,31.0,watchful and prompt to meet danger or emergency
alibi,11.0,the plea of having been at the time of the commission of an act elsewhere than at the place of commission
alimony,9.0,an allowance made to one spouse by the other for support pending or after legal separation or divorce
alive,64.0,having life not dead or inanimate
all,873.0,"the whole amount, quantity, or extent of"
allergy,2.0,altered bodily reactivity (such as hypersensitivity) to an antigen in response to a first exposure
allow,132.0,permit doesn't allow people to smoke in his home
allowance,12.0,a sum granted as a reimbursement or bounty or for expenses
almost,79.0,very nearly but not exactly or entirely
alone,63.0,separated from others isolated was alone in the office
along,289.0,in a line matching the length or direction of
alphabet,18.0,a set of letters or other characters with which one or more languages are written especially if arranged in a customary order
already,27.0,"prior to a specified or implied past, present, or future time by this time previously He had already left when I called."
also,458.0,likewise sense 1 They also liked it.
alter,40.0,to make different without changing into something else
alternative,32.0,offering or expressing a choice
although,20.0,in spite of the fact that even though
altogether,10.0,"wholly, completely an altogether different problem stopped raining altogether"
always,53.0,at all times invariably always smiling
amateur,8.0,"one who engages in a pursuit, study, science, or sport as a pastime rather than as a profession"
amaze,7.0,to fill with wonder astound He amazed audiences with the power of his voice.
ambition,8.0,"an ardent desire for rank, fame, or power"
ambitious,2.0,"having or controlled by ambition having a desire to be successful, powerful, or famous"
among,89.0,in or through the midst of surrounded by
amount,1194.0,to be the same in meaning or effect as
an,10319.0,a entry 2 an opera an honor
analogy,4.0,a comparison of two otherwise unlike things based on resemblance of a particular aspect
analysis,45.0,a detailed examination of anything complex in order to understand its nature or to determine its essential features a thorough study
analyze,7.0,to study or determine the nature and relationship of the parts of (something) by analysis
anger,101.0,a strong feeling of displeasure and usually of antagonism (see antagonism sense 1b)
angle,78.0,a corner whether constituting a projecting part or a partially enclosed space
angry,101.0,feeling or showing anger an angry crowd
anguish,7.0,"extreme pain, distress, or anxiety"
animal,593.0,"any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (such as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (such as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation"
ankle,20.0,the joint between the foot and the leg
announce,35.0,to make known publicly proclaim announce a deal
annoy,13.0,to disturb or irritate especially by repeated acts
annoying,20.0,causing vexation or irritation causing annoyance irritating an annoying habit annoying questions
annual,20.0,covering the period of a year
annually,5.0,once a year each year
another,1337.0,different or distinct from the one first considered
answer,133.0,something spoken or written in reply to a question
antihistamine,1.0,any of various compounds that counteract histamine in the body and that are used for treating allergic reactions (such as hay fever) and cold symptoms
anxiety,48.0,apprehensive uneasiness or nervousness usually over an impending or anticipated ill a state of being anxious More Buddhist uprisings in South Vietnam in the spring of 1966 intensified my anxiety.— Robert S. McNamara I felt my anxiety rise as we pressed deeper underground.— Jon Krakauer
anxious,27.0,characterized by extreme uneasiness of mind or brooding fear about some contingency worried anxious parents
any,1001.0,one or some indiscriminately of whatever kind:
anybody,4.0,any person anyone
anyone,40.0,any person at all
anything,76.0,any thing whatever any such thing
anyway,4.0,in any way whatever anywise
anywhere,5.0,"at, in, or to any place or point"
apart,163.0,at a little distance
apartment,19.0,a room or set of rooms fitted especially with housekeeping facilities and usually leased as a dwelling
apologize,3.0,to express regret for something done or said to make an apology He apologized for his mistake. She apologized to us for losing her temper.
apology,7.0,an admission of error or discourtesy accompanied by an expression of regret
apparent,32.0,open to view visible The changes were readily apparent.
apparently,10.0,"it seems apparent —used to describe something that appears to be true based on what is knownan apparently happy marriageThe window had apparently been forced open.Apparently, we're supposed to wait here."
appeal,77.0,a legal proceeding by which a case is brought before a higher court for review of the decision of a lower court
appear,120.0,to be or come in sight
appearance,258.0,"external show semblance Although hostile, he preserved an appearance of neutrality."
appetite,17.0,any of the instinctive desires necessary to keep up organic life
apple,17.0,"the fleshy, usually rounded red, yellow, or green edible pome fruit of a usually cultivated tree (genus Malus) of the rose family"
application,89.0,an act of applying:
apply,90.0,to put to use especially for some practical purpose
appoint,15.0,to fix or set officially
appreciate,9.0,"to grasp the nature, worth, quality, or significance of"
approach,71.0,to draw closer to near approach a destination
appropriate,103.0,especially suitable or compatible fitting an appropriate response remarks appropriate to the occasion
approval,103.0,an act or instance of approving something approbation The change is subject to the committee's approval.
approve,42.0,to have or express a favorable opinion of
approximate,13.0,nearly correct or exact close in value or amount but not precise
April,6.0,the fourth month of the Gregorian calendar
apt,10.0,unusually fitted or qualified ready proved an apt tool in the hands of the conspirators
aquifer,1.0,"a water-bearing stratum of permeable rock, sand, or gravel"
arch,55.0,a typically curved structural member spanning an opening and serving as a support (as for the wall or other weight above the opening)
architect,7.0,a person who designs buildings and advises in their construction
area,736.0,the surface included within a set of lines
arena,10.0,an area in a Roman amphitheater for gladiatorial combats
argue,32.0,to give reasons for or against something reason argue for a new policy
argument,92.0,"the act or process of arguing, reasoning, or discussing argumentation"
arm,94.0,a human upper limb
armpit,2.0,the hollow beneath the junction of the arm and shoulder
army,74.0,a large organized body of armed personnel trained for war especially on land
around,196.0,in a circle or in circumference
arrange,114.0,"to put into a proper order or into a correct or suitable sequence, relationship, or adjustment"
arrangement,166.0,the state of being arranged order everything in neat arrangement
arrest,61.0,"seize, capture"
arrival,14.0,the act of arriving
arrive,56.0,to reach a destination
arrow,23.0,"a missile shot from a bow and usually having a slender shaft, a pointed head, and feathers at the butt"
art,144.0,"skill acquired by experience, study, or observation"
article,73.0,a distinct often numbered section of a writing
artificial,66.0,humanly contrived (see contrive sense 1b) often on a natural model man-made an artificial limb artificial diamonds
artist,28.0,one who professes and practices an imaginative art
artistic,56.0,"of, relating to, or characteristic of art or artists artistic subjects an artistic success"
as,11439.0,to the same degree or amount
ashamed,6.0,"feeling shame, guilt, or disgrace"
aside,62.0,to or toward the side
ask,113.0,to call on for an answer
asleep,16.0,being in a state of sleep
aspirin,7.0,a white crystalline derivative C9H8O4 of salicylic acid used for relief of pain and fever
assignment,33.0,the act of assigning something
assist,35.0,to give usually supplementary support or aid to
assistant,12.0,a person who assists someone helper
associate,31.0,"to join as a partner, friend, or companion"
associate's,1.0,"a degree that is given to a student who has completed two years of study at a junior college, college, or university in the U.S."
assume,70.0,to take to or upon oneself undertake assume responsibility
assure,6.0,to make sure or certain convince glancing back to assure himself no one was following
at,2651.0,a monetary subunit of the kip — see kip at Money Table
athlete,29.0,"a person who is trained or skilled in exercises, sports, or games requiring physical strength, agility, or stamina"
athletic,23.0,of or relating to athletes or athletics an athletic scholarship athletic teams athletic events
atmosphere,63.0,the gaseous envelope of a celestial body (such as a planet)
attach,67.0,to take by legal authority especially under a writ
attack,224.0,to set upon or work against forcefully
attempt,95.0,"to make an effort to do, accomplish, solve, or effect"
attend,46.0,to be present at to go to
attention,350.0,the act or state of applying the mind to something
attitude,82.0,the arrangement of the parts of a body or figure posture depicted her in a reclining attitude
attorney,29.0,one who is legally appointed to transact business on another's behalf
attract,39.0,to cause to approach or adheresuch as
attraction,43.0,"the act, process, or power of attracting"
attractive,72.0,arousing interest or pleasure charming an attractive smile
audience,34.0,a group of listeners or spectators
August,4.0,marked by majestic dignity or grandeur
aunt,9.0,the sister of one's father or mother
author,44.0,the writer of a literary work (such as a book)
authority,398.0,"power to influence or command thought, opinion, or behavior"
automatic,22.0,largely or wholly involuntary
automobile,57.0,a usually four-wheeled automotive vehicle designed for passenger transportation
autumn,16.0,"the season between summer and winter comprising in the northern hemisphere usually the months of September, October, and November or as reckoned astronomically extending from the September equinox to the December solstice — called also fall"
available,267.0,present or ready for immediate use
baby,43.0,an extremely young child
bachelor's,1.0,a bachelor's degree holds a bachelor's in economics She has two bachelor's and a master's.
back,467.0,the rear part of the human body especially from the neck to the end of the spine
backboard,7.0,a board placed at or serving as the back of something
backhand,5.0,a stroke (as in tennis) made with the back of the hand turned in the direction of movement
backward,47.0,toward the back or rear
bacterium,2.0,"any of a domain (Bacteria) (see domain sense 8) of chiefly round, spiral, or rod-shaped single-celled prokaryotic microorganisms that typically live in soil, water, organic matter, or the bodies of plants and animals, that make their own food especially from sunlight or are saprophytic or parasitic, are often motile by means of flagella, reproduce especially by binary fission, and include many important pathogens"
bad,258.0,failing to reach an acceptable standard poor a bad repair job
badly,43.0,in a bad manner
bag,29.0,"a usually flexible container that may be closed for holding, storing, or carrying somethingsuch as"
baggage,16.0,"suitcases, trunks, and personal belongings of travelers luggage"
bake,1.0,to cook by dry heat especially in an oven
balance,86.0,physical equilibrium
ball,350.0,a round or roundish body or masssuch as
band,72.0,something that confines or constricts while allowing a degree of movement
bandage,22.0,"a strip of fabric used especially to cover, dress, and bind up wounds"
bang,8.0,to strike sharply bump banged his knee
bank,145.0,"a mound, pile, or ridge raised above the surrounding levelsuch as"
banker,7.0,one that engages in the business of banking
bankrupt,29.0,a debtor (such as an individual or an organization) whose property is subject to voluntary or involuntary administration under the bankruptcy laws for the benefit of the debtor's creditors
bankruptcy,31.0,the quality or state of being bankrupt
bar,64.0,"a straight piece (as of wood or metal) that is longer than it is wide and has any of various uses (as for a lever, support, barrier, or fastening)"
barber,3.0,"one whose business is cutting and dressing hair, shaving and trimming beards, and performing related services"
bare,27.0,"lacking a natural, usual, or appropriate covering"
bark,10.0,to make the characteristic short loud cry of a dog
barn,4.0,a usually large building for the storage of farm products or feed and usually for the housing of farm animals or farm equipment
barometer,6.0,an instrument for determining the pressure of the atmosphere and hence for assisting in forecasting weather and for determining altitude (see altitude sense 1a)
barrier,41.0,something material that blocks or is intended to block passage
bartender,3.0,a person who serves drinks at a bar
base,230.0,the bottom of something considered as its support foundation the base of the mountain the lamp's heavy base
baseball,176.0,a game played with a bat and ball between two teams of nine players each on a large field having four bases that mark the course a runner must take to score
basic,129.0,"of, relating to, or forming the base or essence fundamental basic truths"
basically,7.0,at a basic level in fundamental disposition or nature
basis,127.0,the bottom of something considered as its foundation
basket,25.0,a receptacle made of interwoven material (such as osiers)
basketball,73.0,a usually indoor court game between two teams of usually five players each who score by tossing an inflated ball through a raised goal
bath,25.0,a washing or soaking (as in water or steam) of all or part of the body
bathe,4.0,"moisten, wet"
bathroom,9.0,a room containing a bathtub or shower and usually a sink and toilet
batter,66.0,"to beat with successive blows so as to bruise, shatter, or demolish"
battery,32.0,the act of beating someone or something with successive blows the act of battering (see batter entry 1 sense 1)
battle,70.0,"a general encounter between armies, ships of war, or aircraft"
be,3376.0,to equal in meaning have the same connotation as symbolize God is love January is the first month let x be 10
beach,11.0,shore pebbles shingle
beak,5.0,the bill of a bird
bean,10.0,fava bean
bear,100.0,"any of a family (Ursidae of the order Carnivora) of large heavy mammals of America and Eurasia that have long shaggy hair, rudimentary tails, and plantigrade feet and feed largely on fruit, plant matter, and insects as well as on flesh"
beard,8.0,the hair that grows on a man's face often excluding the mustache
beat,78.0,to strike repeatedly:
beautiful,36.0,having qualities of beauty exciting aesthetic pleasure
beauty,35.0,the quality or aggregate of qualities in a person or thing that gives pleasure to the senses or pleasurably exalts the mind or spirit loveliness a woman of great physical beauty exploring the natural beauty of the island A thing of beauty is a joy forever …— John Keats
because,283.0,for the reason that since rested because he was tired
become,950.0,to come into existence
bed,83.0,a piece of furniture on or in which to lie and sleep
beef,8.0,the flesh of an adult domestic bovine (such as a steer or cow) used as food
before,509.0,in advance ahead marching on before
beg,6.0,to ask for as a charity (see charity sense 1a)
begin,183.0,to do the first part of an action go into the first part of a process start began by introducing herself will have to begin again
beginning,175.0,the point at which something begins start It was clear from the beginning that she would win.
behalf,31.0,"interest, benefit"
behave,77.0,to manage the actions of (oneself) in a particular way
behavior,188.0,the way in which someone conducts oneself or behaves (see behave sense 1)
behind,126.0,in the place or situation that is being or has been departed from
belief,98.0,a state or habit of mind in which trust or confidence is placed in some person or thing
believe,76.0,to consider to be true or honest
bell,28.0,a hollow metallic device that gives off a reverberating sound when struck
belong,40.0,"to be suitable, appropriate, or advantageous"
below,235.0,in or to a lower place
belt,17.0,a strip of flexible material worn especially around the waist as an item of clothing or a means of carrying something (such as tools)
bench,17.0,a long seat for two or more persons
bend,85.0,to constrain or strain to tension by curving
beneath,58.0,in or to a lower position below the mountains and the towns beneath
benefit,111.0,something that produces good or helpful results or effects or that promotes well-being advantage discounted prices and other benefits of a museum membership The benefits outweigh the risks of taking the drug. reaping the benefits of their hard work changes that will be to your benefit
beside,9.0,by the side of
besides,44.0,"other than, except no one besides us Nothing besides a miracle could help them."
best,154.0,excelling all others
bet,73.0,"something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue wager —often used figuratively in such phrases as all bets are off to stress the uncertainty of an outcome"
better,185.0,greater than half
between,719.0,by the common action of jointly engaging
beyond,158.0,on or to the farther side farther We could see the valley and the hills beyond.
bible,2.0,the sacred scriptures of Christians comprising the Old Testament and the New Testament
bibliography,1.0,"the history, identification, or description of writings or publications"
bicycle,11.0,"a vehicle with two wheels tandem, handlebars for steering, a saddle seat, and pedals by which it is propelled"
bid,98.0,to offer (a price) whether for payment or acceptance
big,43.0,"large or great in dimensions, bulk, or extent"
bill,166.0,the jaws of a bird together with their horny covering
bind,48.0,to make secure by tying
biodegradable,5.0,capable of being broken down especially into innocuous products by the action of living things (such as microorganisms)
biodiversity,1.0,biological diversity in an environment as indicated by numbers of different species of plants and animals
biology,4.0,a branch of knowledge that deals with living organisms and vital processes
bird,95.0,the young of a feathered vertebrate
birth,100.0,the emergence of a new individual from the body of its parent
bit,49.0,the biting or cutting edge or part of a tool
bite,36.0,"to seize especially with teeth or jaws so as to enter, grip, or wound"
bitter,48.0,"being, inducing, or marked by the one of the five basic taste sensations that is peculiarly acrid, astringent, and often disagreeable and characteristic of citrus peels, unsweetened cocoa, black coffee, mature leafy greens (such as kale or mustard), or ale"
black,147.0,of the color black (see black entry 2 sense 2)
blade,31.0,leaf sense 1a(1)
blame,49.0,to find fault with censure the right to praise or blame a literary work
blanket,17.0,a large usually oblong piece of woven fabric used as a bed covering
bleed,6.0,to emit or lose blood
blizzard,1.0,a long severe snowstorm
block,99.0,a compact usually solid piece of substantial material especially when worked or altered to serve a particular purpose
blond,12.0,"of a flaxen, golden, light auburn, or pale yellowish-brown color"
blood,128.0,"the fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body"
blow,171.0,to be in motion
blue,95.0,of the color whose hue is that of the clear sky of the color blue (see blue entry 2 sense 1)
board,128.0,a piece of sawed lumber of little thickness and a length greatly exceeding its width
boarding,9.0,a piece of sawed lumber of little thickness and a length greatly exceeding its width
boast,7.0,"a statement expressing excessive pride in oneself the act or an instance of boasting (see boast entry 2) brag It may sound like a boast, but I truly am very wealthy."
boat,92.0,a small vessel for travel on water
body,1279.0,the main part of a plant or animal body especially as distinguished from limbs and head trunk held her arms close to her body a bird with a yellow body and head and black markings on its wings
boil,6.0,to come to the boiling point
bold,19.0,fearless before danger intrepid bold settlers on some foreign shore— William Wordsworth
bomb,16.0,an explosive device fused to detonate under specified conditions
bond,179.0,something that binds or restrains fetter prisoners freed from their bonds the bonds of oppression
bone,79.0,one of the hard parts of the skeleton of a vertebrate
bonus,2.0,something in addition to what is expected or strictly duesuch as
book,206.0,a set of written sheets of skin or paper or tablets of wood or ivory
bookkeeper,1.0,a person who records the accounts or transactions of a business
border,61.0,an outer part or edge
bore,13.0,to pierce with a turning or twisting movement of a tool
boredom,14.0,the state of being weary and restless through lack of interest
born,80.0,brought forth by or as if by birth The baby was born prematurely. She was born in Germany. a mentality born in the computer age
borrow,10.0,to receive with the implied or expressed intention of returning the same or an equivalent
boss,20.0,a person who exercises control or authority
bossy,2.0,inclined to domineer dictatorial
both,91.0,the one as well as the other
bother,21.0,to annoy especially by petty provocation irk It bothers her when people litter. bothered by the itchy tag on his shirt
bottle,24.0,a rigid or semirigid container typically of glass or plastic having a comparatively narrow neck or mouth and usually no handle
bottom,91.0,the underside of something
bounce,16.0,"beat, bump"
bound,62.0,fastened by or as if by a band confined desk-bound
boundary,57.0,something that indicates or fixes a limit or extent
bow,63.0,"to cease from competition or resistance submit, yield refusing to bow to the inevitable— John O'Hara also to suffer defeat bowed to the champion"
bowl,32.0,a concave usually nearly hemispherical vessel a rounded container that is usually larger than a cup
box,50.0,a rigid typically rectangular container with or without a cover
boy,40.0,a male child from birth to adulthood
brace,28.0,"prepare, steel brace yourself for the shock"
brain,57.0,"the portion of the vertebrate central nervous system enclosed in the skull and continuous with the spinal cord through the foramen magnum that is composed of neurons and supporting and nutritive structures (such as glia) and that integrates sensory information from inside and outside the body in controlling autonomic function (such as heartbeat and respiration), in coordinating and directing correlated motor responses, and in the process of learning — compare forebrain, hindbrain, midbrain"
branch,103.0,a natural subdivision of a plant stem
brand,19.0,a charred piece of wood
brave,14.0,"having or showing mental or moral strength to face danger, fear, or difficulty having or showing courage a brave soldier a brave smile"
bread,31.0,a usually baked and leavened food made of a mixture whose basic constituent is flour or meal
break,231.0,to separate into parts with suddenness or violence
breakfast,10.0,the first meal of the day especially when taken in the morning
breast,13.0,either of the pair of mammary glands extending from the front of the chest in pubescent and adult human females and some other mammals
breath,58.0,air filled with a fragrance or odor
breathe,20.0,to draw air into and expel it from the lungs respire
breed,32.0,to produce (offspring) by hatching or gestation yet every mother breeds not sons alike— Shakespeare
breezy,4.0,swept by breezes breezy beaches a breezy day
bribe,14.0,money or favor given or promised in order to influence the judgment or conduct of a person in a position of trust
bride,3.0,a woman just married or about to be married
bridge,94.0,a structure carrying a pathway or roadway over a depression or obstacle (such as a river)
brief,127.0,"short in duration, extent, or length"
cage,13.0,a box or enclosure having some openwork for confining or carrying animals (such as birds)
cake,16.0,a breadlike food made from a dough or batter that is usually fried or baked in small flat shapes and is often unleavened
calculate,23.0,to determine by mathematical processes
calculation,23.0,the process or an act of calculating
calendar,18.0,"a system for fixing the beginning, length, and divisions of the civil year and arranging days and longer divisions of time (such as weeks and months) in a definite order — see Months of the Principal Calendars Table"
calf,5.0,the young of the domestic cow
call,193.0,to speak in a loud distinct voice so as to be heard at a distance shout call for help
calm,51.0,"a period or condition of freedom from storms, high winds, or rough activity of water"
camera,43.0,a device that consists of a lightproof chamber with an aperture fitted with a lens and a shutter through which the image of an object is projected onto a surface for recording (as on a photosensitive film or an electronic sensor) or for translation into electrical impulses (as for television broadcast)
camp,29.0,"a place usually away from urban areas where tents or simple buildings (such as cabins) are erected for shelter or for temporary residence (as for laborers, prisoners, or vacationers)"
campaign,15.0,a connected series of military operations forming a distinct phase of a war
campus,6.0,"the grounds and buildings of a university, college, or school"
can,575.0,be physically or mentally able to
cancel,22.0,to decide not to conduct or perform (something planned or expected) usually without expectation of conducting or performing it at a later time
cancer,10.0,a northern zodiacal constellation between Gemini and Leo
candidate,26.0,"one that aspires to or is nominated or qualified for an office, membership, or award"
candy,23.0,crystallized sugar formed by boiling down sugar syrup
cap,26.0,a head covering especially with a visor and no brim
capable,214.0,susceptible a remark capable of being misunderstood
capacity,196.0,legal competency (see competence sense 1) or fitness
capital,133.0,"of or conforming to the series A, B, C, etc. rather than a, b, c, etc."
captain,19.0,a military leader the commander of a unit or a body of troops
capture,38.0,an act or instance of capturingsuch as
car,103.0,a vehicle moving on wheelssuch as
carbon,56.0,a nonmetallic chemical element with atomic number 6 that readily forms compounds with many other elements and is a constituent of organic compounds in all known living tissues — see Chemical Elements Table
carcinogen,1.0,a substance or agent causing cancer
card,117.0,playing card
care,281.0,suffering of mind grief
career,17.0,a profession for which one trains and which is undertaken as a permanent calling
careful,133.0,marked by wary caution or prudence
careless,22.0,free from care untroubled careless days
carpenter,5.0,a worker who builds or repairs wooden structures or their structural parts
carpet,5.0,a heavy often tufted fabric used as a floor covering
carrot,3.0,"a biennial herb (Daucus carota of the family Umbelliferae, the carrot family) with a usually orange spindle-shaped edible root"
carry,168.0,to move while supporting transport her legs refused to carry her further— Ellen Glasgow
case,242.0,a set of circumstances or conditions
cash,35.0,ready money
cashier,6.0,to dismiss from service
cast,80.0,to cause to move or send forth by throwing
castle,11.0,a large fortified building or set of buildings
cat,21.0,a carnivorous mammal (Felis catus) long domesticated as a pet and for catching rats and mice
catalog,21.0,"list, register a catalog of the band's songs"
catch,126.0,to capture or seize especially after pursuit
catcher,9.0,one that catches
category,92.0,any of several fundamental and distinct classes to which entities or concepts belong
cattle,22.0,domesticated quadrupeds held as property or raised for use
cause,1480.0,a reason for an action or condition motive
caution,30.0,"warning, admonishment Her comments were intended as a caution to us to protect our property."
cautious,16.0,careful about avoiding danger or risk
cave,7.0,a natural chamber or series of chambers in the earth or in the side of a hill or cliff
cease,54.0,to cause to come to an end especially gradually no longer continue
ceiling,16.0,the overhead inside lining of a room
celebrate,10.0,to perform (a sacrament or solemn ceremony) publicly and with appropriate rites
celebration,18.0,to perform (a sacrament or solemn ceremony) publicly and with appropriate rites
cell,62.0,a small religious house dependent on a monastery or convent
cent,8.0,"a monetary unit equal to ¹/₁₀₀ of a basic unit of value (such as dollar, euro, rand) — see birr, dollar, euro, leone, lilangeni, nakfa, rand, rupee, shilling at Money Table"
center,116.0,the point around which a circle or sphere is described
central,118.0,containing or constituting a center
century,26.0,a period of 100 years
ceremony,51.0,"a formal act or series of acts prescribed by ritual, protocol, or convention"
certain,442.0,"fixed, settled a certain percentage of the profit"
certainly,24.0,in a manner that is certain with certainty
certainty,12.0,something that is certain
chain,57.0,"a series of usually metal links or rings connected to or fitted into one another and used for various purposes (such as support, restraint, transmission of mechanical power, or measurement)"
chair,32.0,a seat typically having four legs and a back for one person
challenge,50.0,"to dispute especially as being unjust, invalid, or outmoded impugn new data that challenges old assumptions"
champion,10.0,a winner of first prize or first place in competition
championship,11.0,designation as champion
chance,122.0,something that happens unpredictably without discernible human intention or observable cause
change,514.0,to make different in some particular alter never bothered to change the will
channel,52.0,the bed where a natural stream of water runs
chaos,1.0,a state of utter confusion
chapter,14.0,a main division of a book
character,258.0,one of the attributes (see attribute entry 1 sense 1) or features that make up and distinguish an individual
characteristic,253.0,"a distinguishing trait, quality, or property"
charge,296.0,to fix or ask as fee or payment
charity,8.0,generosity and helpfulness especially toward the needy or suffering
charm,21.0,the chanting or reciting of a magic spell incantation
charming,7.0,extremely pleasing or delightful entrancing a charming restaurant has such charming manners
chart,24.0,mapsuch as
chase,21.0,the hunting of wild animals
chat,16.0,"chatter, prattle"
cheap,19.0,charging or obtainable at a low price
cheat,34.0,to deprive of something valuable by the use of deceit or fraud
check,140.0,"to inspect, examine, or look at appraisingly or appreciatively"
cheek,7.0,the fleshy side of the face below the eye and above and to the side of the mouth
cheerful,26.0,full of good spirits merry a cheerful host
cheese,15.0,"a food consisting of the coagulated, compressed, and usually ripened curd of milk separated from the whey"
chef,4.0,a skilled professional cook
chemical,195.0,"of, relating to, used in, or produced by chemistry or the phenomena of chemistry"
chemistry,16.0,"a science that deals with the composition, structure, and properties of substances and with the transformations that they undergo"
chest,30.0,a container for storage or shipping
